participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
669ea98b82899,level_B,0,0,3,9
669ea98b82899,level_B,1,0,14,15
669ea9939bb96,level_C,0,2,1,3
669ea9939bb96,level_C,1,2,21,21
669ea99ca2c70,level_C,0,1,4,11
669ea99ca2c70,level_C,1,1,9,13
669ea99d58e0a,level_B,0,13,1,6
669ea99d58e0a,level_B,1,13,17,18
669ea9a78f11f,level_A,0,0,4,11
669ea9a78f11f,level_A,1,0,8,13
669ea9ae7dd87,level_C,0,10,2,2
669ea9ae7dd87,level_C,1,10,19,22
669ea9b90595c,level_C,0,6,5,7
669ea9b90595c,level_C,1,6,17,17
669ea9b93a23e,level_A,0,2,0,5
669ea9b93a23e,level_A,1,2,19,19
669ea9c7287c1,level_A,0,15,2,6
669ea9c7287c1,level_A,1,15,18,18
669ea9c808141,level_A,0,4,4,4
669ea9c808141,level_A,1,4,19,20
669ea9d70b3f5,level_C,0,8,1,2
669ea9d70b3f5,level_C,1,8,21,22
669ea9e062b2f,level_A,0,1,3,5
669ea9e062b2f,level_A,1,1,18,19
669ea9e73a4ba,level_A,0,18,2,6
669ea9e73a4ba,level_A,1,18,17,18
669ea9f5c0449,level_A,0,10,3,7
669ea9f5c0449,level_A,1,10,17,17
669ea9f8bbf30,level_B,0,12,1,6
669ea9f8bbf30,level_B,1,12,17,18
669eaa00702a7,level_B,0,18,4,7
669eaa00702a7,level_B,1,18,17,17
669eaa0eb4a0f,level_C,0,14,1,2
669eaa0eb4a0f,level_C,1,14,21,22
669eaa135b9d4,level_B,0,18,6,10
669eaa135b9d4,level_B,1,18,14,14
669eaa1893a17,level_A,0,13,3,6
669eaa1893a17,level_A,1,13,17,18
669eaa1c85bf4,level_B,0,4,1,5
669eaa1c85bf4,level_B,1,4,18,19
669eaa28dd497,level_C,0,12,6,7
669eaa28dd497,level_C,1,12,15,17
669eaa3d4f49b,level_C,0,9,0,4
669eaa3d4f49b,level_C,1,9,20,20
669eaa41a0034,level_C,0,0,3,4
669eaa41a0034,level_C,1,0,19,20
669eaa5691761,level_B,0,7,4,10
669eaa5691761,level_B,1,7,11,14
669eaa63e0fc7,level_A,0,17,0,7
669eaa63e0fc7,level_A,1,17,17,17
669eaa696ff2e,level_C,0,4,1,4
669eaa696ff2e,level_C,1,4,19,20
669eaa7569061,level_A,0,6,0,4
669eaa7569061,level_A,1,6,19,20
669eaa8483d61,level_A,0,8,0,4
669eaa8483d61,level_A,1,8,20,20
669eaa8819bd7,level_A,0,16,0,4
669eaa8819bd7,level_A,1,16,18,20
669eaa977629f,level_B,0,10,0,7
669eaa977629f,level_B,1,10,17,17
669eaaa1c0953,level_C,0,16,1,2
669eaaa1c0953,level_C,1,16,22,22
669eaaa1c8e3e,level_A,0,16,2,5
669eaaa1c8e3e,level_A,1,16,19,19
669eaaa4c8824,level_C,0,6,0,2
669eaaa4c8824,level_C,1,6,20,22
669eaaa673a98,level_B,0,13,2,8
669eaaa673a98,level_B,1,13,15,16
669eaaad11e96,level_B,0,14,2,7
669eaaad11e96,level_B,1,14,14,17
669eaab09a52f,level_A,0,6,3,5
669eaab09a52f,level_A,1,6,16,19
669eaac300cca,level_A,0,18,3,4
669eaac300cca,level_A,1,18,19,20
669eaac8ddfa7,level_B,0,0,0,7
669eaac8ddfa7,level_B,1,0,17,17
669eaacf8bdb7,level_C,0,13,0,3
669eaacf8bdb7,level_C,1,13,21,21
669eaadc90bf9,level_A,0,13,2,3
669eaadc90bf9,level_A,1,13,21,21
669eaade90161,level_B,0,6,1,7
669eaade90161,level_B,1,6,16,17
669eaae58348c,level_A,0,8,4,4
669eaae58348c,level_A,1,8,20,20
669eaaf484ab3,level_A,0,5,1,3
669eaaf484ab3,level_A,1,5,19,21
669eaaf995418,level_B,0,19,3,8
669eaaf995418,level_B,1,19,16,16
669eaaff9cf06,level_B,0,17,0,6
669eaaff9cf06,level_B,1,17,18,18
669eab04dd7b9,level_B,0,10,1,3
669eab04dd7b9,level_B,1,10,19,21
669eab062626f,level_C,0,7,1,6
669eab062626f,level_C,1,7,18,18
669eab11b2b05,level_C,0,2,7,15
669eab11b2b05,level_C,1,2,2,9
669eab1da5563,level_B,0,2,4,8
669eab1da5563,level_B,1,2,16,16
669eab20c8360,level_B,0,8,2,5
669eab20c8360,level_B,1,8,18,19
669eab2428aa8,level_C,0,7,1,4
669eab2428aa8,level_C,1,7,20,20
669eab2a56745,level_B,0,19,0,7
669eab2a56745,level_B,1,19,17,17
669eab3045d2c,level_B,0,0,2,4
669eab3045d2c,level_B,1,0,19,20
669eab37cac4b,level_C,0,4,1,4
669eab37cac4b,level_C,1,4,20,20
669eab42407a1,level_A,0,15,6,6
669eab42407a1,level_A,1,15,14,18
669eab425112d,level_B,0,8,4,7
669eab425112d,level_B,1,8,14,17
669eab43511b4,level_C,0,4,3,4
669eab43511b4,level_C,1,4,19,20
669eab4ce3335,level_C,0,13,2,2
669eab4ce3335,level_C,1,13,22,22
669eab53d7708,level_C,0,2,1,4
669eab53d7708,level_C,1,2,19,20
669eab55745e9,level_C,0,7,0,4
669eab55745e9,level_C,1,7,18,20
